saleID,saleprice,age,enghours,johndeere,spring,summer,winter
101,11400,7,208,0,0,0,0
102,9100,5,228,0,0,1,0
103,5600,29,938,0,0,0,0
104,5100,27,609,0,0,1,0
105,4800,11,2860,0,0,0,0
106,4500,23,4617,0,0,0,0
107,2250,28,1390,0,0,1,0
108,1650,33,1140,0,0,0,0
109,8800,7,203,1,0,0,0
110,4700,13,1257,1,0,0,0
111,4000,33,9872,1,0,0,0
112,3750,32,10734,1,0,1,0
113,3000,10,1737,0,1,0,0
114,1600,25,3351,0,1,0,0
115,3000,28,10611,1,1,0,0
116,11600,9,29,0,0,0,0
117,3000,28,2277,0,0,0,0
118,10000,10,4484,1,0,1,0
119,10100,4,20,0,0,0,1
120,10000,13,1347,0,0,0,1
121,6000,15,578,0,0,0,1
122,4600,27,1310,1,0,0,1
123,10500,11,1392,0,0,0,1
124,6200,12,1712,1,0,0,1
125,5400,15,3939,1,0,0,1
126,41100,18,7300,0,0,1,0
127,32500,7,2757,0,0,0,0
128,22500,20,5439,0,0,0,0
129,18000,11,3900,0,0,1,0
130,16600,22,7811,0,0,0,0
131,16100,23,1800,0,0,1,0
132,15900,3,243,0,0,0,0
133,15100,32,6424,0,0,1,0
134,14900,13,2484,0,0,1,0
135,13750,33,4122,0,0,0,0
136,13500,27,5200,0,0,1,0
137,13250,5,2220,0,0,0,0
138,12600,5,2379,0,0,0,0
139,12100,30,5148,0,0,1,0
140,11250,9,755,0,0,0,0
141,11000,7,1625,0,0,1,0
142,10600,31,6155,0,0,1,0
143,10250,17,1021,0,0,1,0
144,10000,7,209,0,0,0,0
145,10000,12,3730,0,0,0,0
146,10000,10,608,0,0,1,0
147,10000,7,883,0,0,0,0
148,9800,21,3772,0,0,0,0
149,9600,25,6228,0,0,0,0
150,9600,4,27,0,0,0,0
151,9300,31,4788,0,0,0,0
152,9100,32,12370,0,0,1,0
153,9000,30,9042,0,0,0,0
154,8800,22,9470,0,0,0,0
155,8600,33,8975,0,0,0,0
156,8100,32,6600,0,0,0,0
157,8000,18,1157,0,0,0,0
158,8000,12,1489,0,0,0,0
159,7900,18,1275,0,0,0,0
160,7400,29,7500,0,0,0,0
161,7400,17,3900,0,0,1,0
162,7400,15,1370,0,0,0,0
163,7300,23,4527,0,0,1,0
164,7000,31,6170,0,0,0,0
165,6700,11,750,0,0,1,0
166,6500,28,1201,0,0,1,0
167,6300,33,3955,0,0,1,0
168,6100,30,2457,0,0,0,0
169,6100,27,550,0,0,1,0
170,5600,33,5521,0,0,1,0
171,5500,32,877,0,0,0,0
172,5300,15,1493,0,0,1,0
173,4500,20,2376,0,0,0,0
174,4250,26,3084,0,0,1,0
175,4250,17,713,0,0,0,0
176,4000,21,8283,0,0,0,0
177,3800,21,8332,0,0,0,0
178,3500,27,7200,0,0,0,0
179,3000,26,6483,0,0,0,0
180,1750,18,5325,0,0,1,0
181,1500,19,6833,0,0,0,0
182,17250,4,350,1,0,0,0
183,9900,24,8604,1,0,0,0
184,9200,24,5870,1,0,1,0
185,9200,27,9001,1,0,0,0
186,9100,22,4300,1,0,1,0
187,5500,33,1681,1,0,0,0
188,3300,30,3530,1,0,0,0
189,2800,33,1228,1,0,0,0
190,17000,31,6441,0,1,0,0
191,16300,22,5316,0,1,0,0
192,16100,24,6559,0,1,0,0
193,13500,27,5100,0,1,0,0
194,12000,14,7622,0,1,0,0
195,10600,31,9438,0,1,0,0
196,9500,15,3477,0,1,0,0
197,9000,8,888,0,1,0,0
198,8700,11,128,0,1,0,0
199,8600,19,4500,0,1,0,0
200,6400,27,5716,0,1,0,0
201,5250,31,6859,0,1,0,0
202,5100,33,9479,0,1,0,0
203,2600,14,1350,0,1,0,0
204,10000,27,3800,1,1,0,0
205,7900,33,9264,1,1,0,0
206,6600,33,4647,1,1,0,0
207,120000,7,5038,0,0,1,0
208,109000,6,1003,0,0,0,0
209,96000,7,2221,0,0,0,0
210,74600,8,4257,0,0,0,0
211,46000,6,2872,0,0,1,0
212,45500,19,6131,0,0,0,0
213,43100,17,3800,0,0,0,0
214,42500,5,460,0,0,0,0
215,42400,15,7595,0,0,0,0
216,41700,19,4990,0,0,0,0
217,41700,7,391,0,0,1,0
218,37200,9,6390,0,0,1,0
219,36500,8,3517,0,0,1,0
220,36100,4,784,0,0,0,0
221,35600,18,6849,0,0,1,0
222,33900,6,26,0,0,0,0
223,27500,11,721,0,0,0,0
224,27100,25,11685,0,0,0,0
225,24100,4,9,0,0,1,0
226,23750,18,7194,0,0,0,0
227,21100,27,5350,0,0,1,0
228,20900,5,399,0,0,1,0
229,20700,28,3042,0,0,0,0
230,19500,23,9573,0,0,0,0
231,19400,10,3924,0,0,1,0
232,19100,25,7200,0,0,1,0
233,18600,23,13869,0,0,0,0
234,18500,19,9008,0,0,1,0
235,18250,7,1935,0,0,1,0
236,18000,17,5020,0,0,0,0
237,18000,2,5,0,0,0,0
238,17700,23,4914,0,0,0,0
239,17500,5,673,0,0,1,0
240,17250,22,6300,0,0,0,0
241,17100,22,5922,0,0,0,0
242,17000,11,105,0,0,0,0
243,16750,21,8837,0,0,1,0
244,16500,23,8452,0,0,0,0
245,16000,9,2582,0,0,0,0
246,16000,8,293,0,0,1,0
247,15100,8,2500,0,0,1,0
248,15000,9,90,0,0,0,0
249,15000,13,710,0,0,0,0
250,14800,16,1540,0,0,0,0
251,14750,12,6337,0,0,0,0
252,14100,12,1586,0,0,0,0
253,14000,18,17543,0,0,1,0
254,14000,7,2452,0,0,0,0
255,13900,22,5796,0,0,0,0
256,13500,7,270,0,0,1,0
257,13500,5,395,0,0,0,0
258,13000,6,948,0,0,0,0
259,12700,5,1176,0,0,0,0
260,12500,13,3805,0,0,0,0
261,12100,17,1785,0,0,1,0
262,11500,10,291,0,0,0,0
263,11000,16,17020,0,0,0,0
264,10700,11,1388,0,0,1,0
265,10000,19,3091,0,0,1,0
266,10000,26,2785,0,0,0,0
267,10000,11,2964,0,0,1,0
268,9800,4,56,0,0,0,0
269,9750,7,2350,0,0,1,0
270,9500,18,259,0,0,0,0
271,9100,24,1391,0,0,0,0
272,9100,12,1031,0,0,0,0
273,9000,11,633,0,0,1,0
274,9000,4,55,0,0,0,0
275,9000,3,1,0,0,1,0
276,8600,11,557,0,0,1,0
277,8500,7,2019,0,0,1,0
278,8000,6,2348,0,0,1,0
279,8000,16,1290,0,0,0,0
280,8000,6,2348,0,0,1,0
281,7800,30,8486,0,0,0,0
282,7600,12,981,0,0,1,0
283,7500,11,273,0,0,0,0
284,7500,7,970,0,0,0,0
285,7000,10,681,0,0,0,0
286,7000,7,159,0,0,1,0
287,6750,4,140,0,0,1,0
288,183500,3,467,1,0,0,0
289,162500,5,1511,1,0,0,0
290,47000,5,1650,1,0,0,0
291,33000,18,8975,1,0,1,0
292,33000,5,430,1,0,0,0
293,10800,4,63,1,0,0,0
294,6400,29,5336,1,0,1,0
295,122100,2,1620,0,1,0,0
296,110000,4,1360,0,1,0,0
297,105000,4,1227,0,1,0,0
298,48000,9,7056,0,1,0,0
299,45000,5,513,0,1,0,0
300,42750,29,3918,0,1,0,0
301,41100,5,300,0,1,0,0
302,39800,14,7750,0,1,0,0
303,36900,18,9224,0,1,0,0
304,35000,7,636,0,1,0,0
305,32000,4,410,0,1,0,0
306,31500,4,325,0,1,0,0
307,30100,18,8230,0,1,0,0
308,28400,25,2595,0,1,0,0
309,28200,13,4497,0,1,0,0
310,27000,3,178,0,1,0,0
311,25100,5,2360,0,1,0,0
312,25100,6,1757,0,1,0,0
313,24800,23,9067,0,1,0,0
314,24250,14,9037,0,1,0,0
315,22800,21,1010,0,1,0,0
316,22000,8,689,0,1,0,0
317,21000,8,680,0,1,0,0
318,20100,17,9467,0,1,0,0
319,17500,21,9392,0,1,0,0
320,17100,28,3458,0,1,0,0
321,14000,32,4380,0,1,0,0
322,12600,7,3500,0,1,0,0
323,12500,5,727,0,1,0,0
324,12400,5,304,0,1,0,0
325,10600,6,1301,0,1,0,0
326,10500,11,1722,0,1,0,0
327,9000,6,171,0,1,0,0
328,6500,11,1409,0,1,0,0
329,5000,5,286,0,1,0,0
330,5000,23,4028,0,1,0,0
331,3800,20,2227,0,1,0,0
332,200000,2,1148,1,1,0,0
333,65600,18,5624,1,1,0,0
334,28800,17,4512,1,1,0,0
335,7900,16,9320,1,1,0,0
336,7550,12,916,1,1,0,0
337,33000,5,271,0,0,0,1
338,27900,8,1400,0,0,0,1
339,27000,30,6400,0,0,0,1
340,18700,6,1145,0,0,0,1
341,17500,26,5400,0,0,0,1
342,12300,6,165,0,0,0,1
343,12000,14,3000,0,0,0,1
344,9600,4,48,0,0,0,1
345,9200,32,4690,0,0,0,1
346,7300,33,6453,0,0,0,1
347,7300,22,18744,0,0,0,1
348,6000,30,5125,0,0,0,1
349,4700,33,5188,0,0,0,1
350,4200,5,757,0,0,0,1
351,4100,31,3750,0,0,0,1
352,3500,30,4078,0,0,0,1
353,3500,29,2319,0,0,0,1
354,3000,31,9543,0,0,0,1
355,15700,28,3736,1,0,0,1
356,12000,3,22,1,0,0,1
357,135000,2,128,0,0,0,1
358,117500,5,2825,0,0,0,1
359,101250,4,1250,0,0,0,1
360,95000,5,7297,0,0,0,1
361,58600,7,2699,0,0,0,1
362,36000,5,2417,0,0,0,1
363,35100,4,78,0,0,0,1
364,32600,4,85,0,0,0,1
365,20000,21,4769,0,0,0,1
366,19500,24,2670,0,0,0,1
367,15200,4,10,0,0,0,1
368,14000,6,931,0,0,0,1
369,13500,2,128,0,0,0,1
370,13000,15,850,0,0,0,1
371,5000,5,300,0,0,0,1
372,48700,18,4985,1,0,0,1
373,34400,17,9000,1,0,0,1
374,34400,16,1251,1,0,0,1
375,10500,11,732,1,0,0,1
376,8000,9,807,1,0,0,1
